package	version
ade4	1.7-24
adegenet	2.1.11
ape	5.8-1
BiocGenerics	0.48.1
Biostrings	2.70.3
broom	1.0.13
clue	0.3-68
concaveman	1.2.0
cowplot	1.2.0
data.table	1.18.4
dplyr	1.2.1
forcats	1.0.1
futile.logger	1.4.9
GenomeInfoDb	1.38.8
ggnewscale	0.5.2
ggplot2	4.0.3
ggtext	0.1.2
gridExtra	2.3
gtools	3.9.5
irlba	2.3.7
IRanges	2.36.0
lubridate	1.9.5
Matrix	1.6-5
patchwork	1.3.2
pcadapt	4.4.1
pegas	1.4
purrr	1.2.2
readr	2.2.0
rprojroot	2.1.1
rstatix	0.7.3
S4Vectors	0.40.2
scales	1.4.0
StAMPP	1.6.3
stringr	1.6.0
tibble	3.3.1
tidyr	1.3.2
tidyverse	2.0.0
UpSetR	1.4.1
vcfR	1.16.0
VennDiagram	1.8.2
XVector	0.42.0
