ID,GEN,TREAT,TREAT2
3019188_R_47_DIV_22_1_S12_L001_R1_001,gen0,gen0,gen0
3019189_R_100_DIV_22_1_S24_L001_R1_001,gen0,gen0,gen0
3019190_R_193_DIV_22_1_S36_L001_R1_001,gen0,gen0,gen0
3019191_R_240_DIV_22_1_S48_L001_R1_001,gen0,gen0,gen0
3019192_R_280_DIV_22_1_S60_L001_R1_001,gen0,gen0,gen0
3019193_R_612_DIV_22_6_S72_L001_R1_001,gen0,gen0,gen0
3019194_R_944_DIV_22_5_S83_L001_R1_001,gen0,gen0,gen0
3019195_R_34_DIV_22_1_S1_L001_R1_001,gen0,gen0,gen0
3019196_R_47_DIV_22_2_S13_L001_R1_001,gen0,gen0,gen0
3019197_R_100_DIV_22_2_S25_L001_R1_001,gen0,gen0,gen0
3019198_R_193_DIV_22_2_S37_L001_R1_001,gen0,gen0,gen0
3019199_R_240_DIV_22_2_S49_L001_R1_001,gen0,gen0,gen0
3019200_R_280_DIV_22_2_S61_L001_R1_001,gen0,gen0,gen0
3019201_R_937_DIV_22_1_S73_L001_R1_001,gen0,gen0,gen0
3019202_R_944_DIV_22_6_S84_L001_R1_001,gen0,gen0,gen0
3019203_R_34_DIV_22_2_S2_L001_R1_001,gen0,gen0,gen0
3019204_R_47_DIV_22_3_S14_L001_R1_001,gen0,gen0,gen0
3019205_R_100_DIV_22_3_S26_L001_R1_001,gen0,gen0,gen0
3019206_R_193_DIV_22_3_S38_L001_R1_001,gen0,gen0,gen0
3019207_R_240_DIV_22_3_S50_L001_R1_001,gen0,gen0,gen0
3019208_R_280_DIV_22_3_S62_L001_R1_001,gen0,gen0,gen0
3019209_R_937_DIV_22_2_S74_L001_R1_001,gen0,gen0,gen0
3019210_R_1027_DIV_22_1_S85_L001_R1_001,gen0,gen0,gen0
3019211_R_34_DIV_22_3_S3_L001_R1_001,gen0,gen0,gen0
3019212_R_47_DIV_22_4_S15_L001_R1_001,gen0,gen0,gen0
3019213_R_100_DIV_22_4_S27_L001_R1_001,gen0,gen0,gen0
3019214_R_193_DIV_22_4_S39_L001_R1_001,gen0,gen0,gen0
3019215_R_240_DIV_22_4_S51_L001_R1_001,gen0,gen0,gen0
3019216_R_280_DIV_22_4_S63_L001_R1_001,gen0,gen0,gen0
3019217_R_937_DIV_22_3_S75_L001_R1_001,gen0,gen0,gen0
3019218_R_1027_DIV_22_2_S86_L001_R1_001,gen0,gen0,gen0
3019219_R_34_DIV_22_4_S4_L001_R1_001,gen0,gen0,gen0
3019220_R_47_DIV_22_5_S16_L001_R1_001,gen0,gen0,gen0
3019221_R_100_DIV_22_5_S28_L001_R1_001,gen0,gen0,gen0
3019222_R_193_DIV_22_5_S40_L001_R1_001,gen0,gen0,gen0
3019223_R_240_DIV_22_5_S52_L001_R1_001,gen0,gen0,gen0
3019224_R_280_DIV_22_5_S64_L001_R1_001,gen0,gen0,gen0
3019225_R_937_DIV_22_4_S76_L001_R1_001,gen0,gen0,gen0
3019226_R_1027_DIV_22_3_S87_L001_R1_001,gen0,gen0,gen0
3019227_R_34_DIV_22_5_S5_L001_R1_001,gen0,gen0,gen0
3019228_R_47_DIV_22_6_S17_L001_R1_001,gen0,gen0,gen0
3019229_R_100_DIV_22_6_S29_L001_R1_001,gen0,gen0,gen0
3019230_R_193_DIV_22_6_S41_L001_R1_001,gen0,gen0,gen0
3019231_R_240_DIV_22_6_S53_L001_R1_001,gen0,gen0,gen0
3019232_R_280_DIV_22_6_S65_L001_R1_001,gen0,gen0,gen0
3019233_R_937_DIV_22_5_S77_L001_R1_001,gen0,gen0,gen0
3019234_R_1027_DIV_22_4_S88_L001_R1_001,gen0,gen0,gen0
3019235_R_34_DIV_22_6_S6_L001_R1_001,gen0,gen0,gen0
3019236_R_93_DIV_22_1_S18_L001_R1_001,gen0,gen0,gen0
3019237_R_191_DIV_22_1_S30_L001_R1_001,gen0,gen0,gen0
3019238_R_233_DIV_22_1_S42_L001_R1_001,gen0,gen0,gen0
3019239_R_242_DIV_22_1_S54_L001_R1_001,gen0,gen0,gen0
3019240_R_612_DIV_22_1_S66_L001_R1_001,gen0,gen0,gen0
3019241_R_937_DIV_22_6_S78_L001_R1_001,gen0,gen0,gen0
3019242_R_1027_DIV_22_5_S89_L001_R1_001,gen0,gen0,gen0
3019243_R_36_DIV_22_1_S7_L001_R1_001,gen0,gen0,gen0
3019244_R_93_DIV_22_2_S19_L001_R1_001,gen0,gen0,gen0
3019245_R_191_DIV_22_2_S31_L001_R1_001,gen0,gen0,gen0
3019246_R_233_DIV_22_2_S43_L001_R1_001,gen0,gen0,gen0
3019247_R_242_DIV_22_2_S55_L001_R1_001,gen0,gen0,gen0
3019248_R_612_DIV_22_2_S67_L001_R1_001,gen0,gen0,gen0
3019249_R_944_DIV_22_1_S79_L001_R1_001,gen0,gen0,gen0
3019250_R_1027_DIV_22_6_S90_L001_R1_001,gen0,gen0,gen0
3019251_R_36_DIV_22_2_S8_L001_R1_001,gen0,gen0,gen0
3019252_R_93_DIV_22_3_S20_L001_R1_001,gen0,gen0,gen0
3019253_R_191_DIV_22_3_S32_L001_R1_001,gen0,gen0,gen0
3019254_R_233_DIV_22_3_S44_L001_R1_001,gen0,gen0,gen0
3019255_R_242_DIV_22_3_S56_L001_R1_001,gen0,gen0,gen0
3019256_R_612_DIV_22_3_S68_L001_R1_001,gen0,gen0,gen0
3019257_R_944_DIV_22_2_S80_L001_R1_001,gen0,gen0,gen0
3019258_R_1038_DIV_22_1_S91_L001_R1_001,gen0,gen0,gen0
3019259_R_36_DIV_22_3_S9_L001_R1_001,gen0,gen0,gen0
3019260_R_93_DIV_22_4_S21_L001_R1_001,gen0,gen0,gen0
3019261_R_191_DIV_22_4_S33_L001_R1_001,gen0,gen0,gen0
3019262_R_233_DIV_22_4_S45_L001_R1_001,gen0,gen0,gen0
3019263_R_242_DIV_22_4_S57_L001_R1_001,gen0,gen0,gen0
3019264_R_612_DIV_22_4_S69_L001_R1_001,gen0,gen0,gen0
3019265_R_944_DIV_22_3_S81_L001_R1_001,gen0,gen0,gen0
3019266_R_1038_DIV_22_2_S92_L001_R1_001,gen0,gen0,gen0
3019267_R_36_DIV_22_5_S10_L001_R1_001,gen0,gen0,gen0
3019268_R_93_DIV_22_5_S22_L001_R1_001,gen0,gen0,gen0
3019269_R_191_DIV_22_5_S34_L001_R1_001,gen0,gen0,gen0
3019270_R_233_DIV_22_5_S46_L001_R1_001,gen0,gen0,gen0
3019271_R_242_DIV_22_5_S58_L001_R1_001,gen0,gen0,gen0
3019272_R_612_DIV_22_5_S70_L001_R1_001,gen0,gen0,gen0
3019273_R_944_DIV_22_4_S82_L001_R1_001,gen0,gen0,gen0
3019274_R_1038_DIV_22_3_S93_L001_R1_001,gen0,gen0,gen0
3019275_R_36_DIV_22_6_S11_L001_R1_001,gen0,gen0,gen0
3019276_R_93_DIV_22_6_S23_L001_R1_001,gen0,gen0,gen0
3019277_R_191_DIV_22_6_S35_L001_R1_001,gen0,gen0,gen0
3019278_R_233_DIV_22_6_S47_L001_R1_001,gen0,gen0,gen0
3019279_R_242_DIV_22_6_S59_L001_R1_001,gen0,gen0,gen0
3019283_R_1201_DIV_22_2_S94_L001_R1_001,gen0,gen0,gen0
3019284_R_1148_DIV_22_2_S105_L001_R1_001,gen0,gen0,gen0
3019286_R_1248_DIV_22_2_S126_L001_R1_001,gen0,gen0,gen0
3019287_R_1319_DIV_22_2_S136_L001_R1_001,gen0,gen0,gen0
3019288_R_1429_DIV_22_2_S146_L001_R1_001,gen0,gen0,gen0
3019289_R_1554_DIV_22_1_S156_L001_R1_001,gen0,gen0,gen0
3019290_R_1890_DIV_22_6_S166_L001_R1_001,gen0,gen0,gen0
3019291_R_1038_DIV_22_4_S95_L001_R1_001,gen0,gen0,gen0
3019292_R_1148_DIV_22_3_S106_L001_R1_001,gen0,gen0,gen0
3019293_R_1201_DIV_22_3_S116_L001_R1_001,gen0,gen0,gen0
3019294_R_1248_DIV_22_3_S127_L001_R1_001,gen0,gen0,gen0
3019295_R_1319_DIV_22_3_S137_L001_R1_001,gen0,gen0,gen0
3019296_R_1429_DIV_22_3_S147_L001_R1_001,gen0,gen0,gen0
3019297_R_1554_DIV_22_2_S157_L001_R1_001,gen0,gen0,gen0
3019298_R_1968_DIV_22_1_S167_L001_R1_001,gen0,gen0,gen0
3019299_R_1038_DIV_22_5_S96_L001_R1_001,gen0,gen0,gen0
3019300_R_1148_DIV_22_4_S107_L001_R1_001,gen0,gen0,gen0
3019301_R_1201_DIV_22_4_S117_L001_R1_001,gen0,gen0,gen0
3019302_R_1248_DIV_22_4_S128_L001_R1_001,gen0,gen0,gen0
3019303_R_1319_DIV_22_4_S138_L001_R1_001,gen0,gen0,gen0
3019304_R_1429_DIV_22_4_S148_L001_R1_001,gen0,gen0,gen0
3019305_R_1554_DIV_22_3_S158_L001_R1_001,gen0,gen0,gen0
3019306_R_1968_DIV_22_2_S168_L001_R1_001,gen0,gen0,gen0
3019307_R_1038_DIV_22_6_S97_L001_R1_001,gen0,gen0,gen0
3019308_R_1148_DIV_22_5_S108_L001_R1_001,gen0,gen0,gen0
3019309_R_1201_DIV_22_5_S118_L001_R1_001,gen0,gen0,gen0
3019310_R_1248_DIV_22_5_S129_L001_R1_001,gen0,gen0,gen0
3019311_R_1319_DIV_22_5_S139_L001_R1_001,gen0,gen0,gen0
3019312_R_1429_DIV_22_5_S149_L001_R1_001,gen0,gen0,gen0
3019313_R_1554_DIV_22_4_S159_L001_R1_001,gen0,gen0,gen0
3019314_R_1968_DIV_22_3_S169_L001_R1_001,gen0,gen0,gen0
3019315_R_36_DIV_22_4_S98_L001_R1_001,gen0,gen0,gen0
3019316_R_1148_DIV_22_6_S109_L001_R1_001,gen0,gen0,gen0
