"K","aligned_component","original_Q_column","color"
2,1,1,"steelblue"
2,2,2,"coral"
3,1,2,"steelblue"
3,2,1,"coral"
3,3,3,"lightgreen"
4,1,3,"steelblue"
4,2,4,"coral"
4,3,1,"lightgreen"
4,4,2,"#984EA3"
5,1,1,"steelblue"
5,2,5,"coral"
5,3,3,"lightgreen"
5,4,4,"#984EA3"
5,5,2,"darkblue"
6,1,3,"steelblue"
6,2,5,"coral"
6,3,1,"lightgreen"
6,4,6,"#984EA3"
6,5,4,"darkblue"
6,6,2,"darkred"
7,1,2,"steelblue"
7,2,7,"coral"
7,3,6,"lightgreen"
7,4,1,"#984EA3"
7,5,5,"darkblue"
7,6,4,"darkred"
7,7,3,"darkgreen"
8,1,7,"steelblue"
8,2,3,"coral"
8,3,1,"lightgreen"
8,4,4,"#984EA3"
8,5,5,"darkblue"
8,6,2,"darkred"
8,7,8,"darkgreen"
8,8,6,"#F781BF"
9,1,7,"steelblue"
9,2,6,"coral"
9,3,8,"lightgreen"
9,4,9,"#984EA3"
9,5,4,"darkblue"
9,6,5,"darkred"
9,7,2,"darkgreen"
9,8,3,"#F781BF"
9,9,1,"#999999"
