"K","group1","n","mean_clusteredness","median_clusteredness","mean_dominant_proportion","median_dominant_proportion"
2,"gen0",342,0.703996877192982,0.819651,0.851998438596491,0.9098255
2,"gen1",736,0.691137611413044,0.828674,0.845568805706522,0.914337
2,"gen2",460,0.51853102173913,0.508151,0.759265510869565,0.7540755
2,"gen3",472,0.414199618644068,0.38399,0.707099809322034,0.691995
3,"gen0",342,0.720626547215678,0.692170250280898,0.779195564327485,0.7841385
3,"gen1",736,0.73183284991533,0.731789847025487,0.791218739130435,0.810478
3,"gen2",460,0.535643321032336,0.509118373469695,0.645120176086956,0.59598
3,"gen3",472,0.439251981247256,0.443896767836718,0.594454699152542,0.5758405
4,"gen0",342,0.7077228382786,0.686835369529406,0.742322979532164,0.7471555
4,"gen1",736,0.686522843460341,0.675602589538326,0.730487610054348,0.7240375
4,"gen2",460,0.536513994166884,0.519558040103719,0.599512760869565,0.552909
4,"gen3",472,0.457780357944796,0.433356837911289,0.544416898305085,0.519781
5,"gen0",342,0.709144990745021,0.687175290636313,0.724489953216374,0.720305
5,"gen1",736,0.682368181597889,0.665576689509243,0.705741331521739,0.6934285
5,"gen2",460,0.547639935388289,0.530459391665328,0.575206891304348,0.5437555
5,"gen3",472,0.475238444621437,0.466323159218717,0.519318122881356,0.4966345
6,"gen0",342,0.725688813091703,0.722597521826335,0.724042242690058,0.7497365
6,"gen1",736,0.690138167410903,0.670898426290619,0.694841748641304,0.679524
6,"gen2",460,0.563629559268083,0.544330155947995,0.563990319565217,0.535011
6,"gen3",472,0.483544025627834,0.468953324948406,0.500629597457627,0.478193
7,"gen0",342,0.65079688784529,0.63903029359841,0.649092555555556,0.6276695
7,"gen1",736,0.62790869081171,0.599796761980295,0.634748494565217,0.615201
7,"gen2",460,0.56493935757844,0.546521547620459,0.549334654347826,0.5188335
7,"gen3",472,0.497458679876227,0.477240811799063,0.492388644067797,0.4668125
8,"gen0",342,0.734179650993165,0.713855890692312,0.714534605263158,0.715652
8,"gen1",736,0.702285884209086,0.684549408076726,0.689986735054348,0.677242
8,"gen2",460,0.588015245781126,0.571350681611882,0.567825295652174,0.5370005
8,"gen3",472,0.515907828598606,0.498844787804471,0.499550298728814,0.468946
9,"gen0",342,0.671655025875974,0.647219920630604,0.657636444444444,0.6349115
9,"gen1",736,0.652446379468801,0.628994616798064,0.643812203804348,0.6324175
9,"gen2",460,0.584429111225982,0.572387293925304,0.554638984782609,0.525249
9,"gen3",472,0.517293125445709,0.501102923859662,0.490469980932203,0.4626475
