GO	x	K	GeneRatio	BgRatio	p_value	genes_in_target	p_adjust	significant
GO:0004857	7	142	7/287	142/27058	8.25667486395242e-4	S.CEREALE.LO7.r2.2RG00141980;S.CEREALE.LO7.r2.3RG00214960;S.CEREALE.LO7.r2.3RG00214980;S.CEREALE.LO7.r2.3RG00215170;S.CEREALE.LO7.r2.3RG00215180;S.CEREALE.LO7.r2.4RG00393280;S.CEREALE.LO7.r2.7RG00747880	0.17004766515404304	FALSE
GO:0002098	2	6	2/287	6/27058	0.00163507370340426	S.CEREALE.LO7.r2.6RG00617950;S.CEREALE.LO7.r2.6RG00649230	0.17004766515404304	FALSE
GO:0031072	2	9	2/287	9/27058	0.0038424340219204494	S.CEREALE.LO7.r2.5RG00499660;S.CEREALE.LO7.r2.7RG00684020	0.18385197230640404	FALSE
GO:0051536	4	68	4/287	68/27058	0.005929987671191217	S.CEREALE.LO7.r2.1RG00072470;S.CEREALE.LO7.r2.5RG00449560;S.CEREALE.LO7.r2.5RG00509010;S.CEREALE.LO7.r2.7RG00681170	0.18385197230640404	FALSE
GO:0009073	2	13	2/287	13/27058	0.008095546438622363	S.CEREALE.LO7.r2.4RG00340340;S.CEREALE.LO7.r2.5RG00493020	0.18385197230640404	FALSE
GO:0042500	2	13	2/287	13/27058	0.008095546438622363	S.CEREALE.LO7.r2.3RG00284280;S.CEREALE.LO7.r2.3RG00284300	0.18385197230640404	FALSE
GO:0016758	3	42	3/287	42/27058	0.009991463099143642	S.CEREALE.LO7.r2.5RG00516190;S.CEREALE.LO7.r2.6RG00588190;S.CEREALE.LO7.r2.7RG00711120	0.18385197230640404	FALSE
GO:0046872	9	336	9/287	336/27058	0.010081751074041278	S.CEREALE.LO7.r2.2RG00101650;S.CEREALE.LO7.r2.2RG00178130;S.CEREALE.LO7.r2.3RG00220260;S.CEREALE.LO7.r2.3RG00295410;S.CEREALE.LO7.r2.4RG00385810;S.CEREALE.LO7.r2.5RG00464230;S.CEREALE.LO7.r2.6RG00640080;S.CEREALE.LO7.r2.7RG00670820;S.CEREALE.LO7.r2.7RG00723520	0.18385197230640404	FALSE
GO:0008690	1	1	1/287	1/27058	0.010606844556138695	S.CEREALE.LO7.r2.1RG00074540	0.18385197230640404	FALSE
GO:0003913	1	1	1/287	1/27058	0.010606844556138695	S.CEREALE.LO7.r2.2RG00090220	0.18385197230640404	FALSE
