GO	x	K	GeneRatio	BgRatio	p_value	genes_in_target	p_adjust	significant
GO:0006672	1	3	1/8	3/27058	8.867540596090295e-4	S.CEREALE.LO7.r2.4RG00306440	0.01034278781864828	TRUE
GO:0016811	1	5	1/8	5/27058	0.0014775411169497543	S.CEREALE.LO7.r2.4RG00306440	0.01034278781864828	TRUE
GO:0005840	2	348	2/8	348/27058	0.00438772547186847	S.CEREALE.LO7.r2.3RG00260860;S.CEREALE.LO7.r2.6RG00602240	0.014285786066277666	TRUE
GO:0003735	2	374	2/8	374/27058	0.005049359410202164	S.CEREALE.LO7.r2.3RG00260860;S.CEREALE.LO7.r2.6RG00602240	0.014285786066277666	TRUE
GO:0006412	2	376	2/8	376/27058	0.005102066452242024	S.CEREALE.LO7.r2.3RG00260860;S.CEREALE.LO7.r2.6RG00602240	0.014285786066277666	TRUE
GO:0008610	1	37	1/8	37/27058	0.010888651687785411	S.CEREALE.LO7.r2.6RG00581480	0.02540685393816596	TRUE
GO:0009058	1	133	1/8	133/27058	0.03865795735864008	S.CEREALE.LO7.r2.5RG00532110	0.07731591471728017	FALSE
GO:0005509	1	260	1/8	260/27058	0.07434497817432173	S.CEREALE.LO7.r2.2RG00148800	0.13010371180506303	FALSE
GO:0004553	1	349	1/8	349/27058	0.09865799315216106	S.CEREALE.LO7.r2.2RG00159970	0.1534679893478061	FALSE
GO:0016491	1	464	1/8	464/27058	0.129245087709696	S.CEREALE.LO7.r2.6RG00581480	0.18094312279357438	FALSE
GO:0005975	1	531	1/8	531/27058	0.1466433802319015	S.CEREALE.LO7.r2.2RG00159970	0.18663702938605645	FALSE
GO:0005506	1	801	1/8	801/27058	0.21371212020436414	S.CEREALE.LO7.r2.6RG00581480	0.24933080690509152	FALSE
GO:0008270	1	995	1/8	995/27058	0.25900968391775103	S.CEREALE.LO7.r2.4RG00313870	0.278933505757578	FALSE
GO:0016020	1	1998	1/8	1998/27058	0.4586886221422597	S.CEREALE.LO7.r2.4RG00306440	0.4586886221422597	FALSE
