GO	x	K	GeneRatio	BgRatio	p_value	genes_in_target	p_adjust	significant
GO:0055085	8	865	8/57	865/27058	4.361444757195765e-4	S.CEREALE.LO7.r2.1RG00014730;S.CEREALE.LO7.r2.3RG00277160;S.CEREALE.LO7.r2.3RG00277170;S.CEREALE.LO7.r2.4RG00350640;S.CEREALE.LO7.r2.5RG00430660;S.CEREALE.LO7.r2.5RG00430670;S.CEREALE.LO7.r2.5RG00518510;S.CEREALE.LO7.r2.6RG00545360	0.03096625777608993	TRUE
GO:0003690	3	94	3/57	94/27058	0.0010370993702969167	S.CEREALE.LO7.r2.4RG00412140;S.CEREALE.LO7.r2.4RG00412760;S.CEREALE.LO7.r2.7RG00732650	0.03681702764554054	TRUE
GO:0015031	2	44	2/57	44/27058	0.0038968598933207454	S.CEREALE.LO7.r2.7RG00687320;S.CEREALE.LO7.r2.7RG00687330	0.051718823380492385	FALSE
GO:0019509	1	2	1/57	2/27058	0.004208811694591197	S.CEREALE.LO7.r2.3RG00220640	0.051718823380492385	FALSE
GO:0043874	1	2	1/57	2/27058	0.004208811694591197	S.CEREALE.LO7.r2.3RG00220640	0.051718823380492385	FALSE
GO:0008184	1	3	1/57	3/27058	0.006306686389054628	S.CEREALE.LO7.r2.3RG00274630	0.051718823380492385	FALSE
GO:0004645	1	3	1/57	3/27058	0.006306686389054628	S.CEREALE.LO7.r2.3RG00274630	0.051718823380492385	FALSE
GO:0004072	1	3	1/57	3/27058	0.006306686389054628	S.CEREALE.LO7.r2.3RG00287780	0.051718823380492385	FALSE
GO:0016020	10	1998	10/57	1998/27058	0.008318090772241599	S.CEREALE.LO7.r2.1RG00014730;S.CEREALE.LO7.r2.2RG00184390;S.CEREALE.LO7.r2.3RG00277160;S.CEREALE.LO7.r2.3RG00277170;S.CEREALE.LO7.r2.4RG00350640;S.CEREALE.LO7.r2.5RG00430660;S.CEREALE.LO7.r2.5RG00430670;S.CEREALE.LO7.r2.5RG00518510;S.CEREALE.LO7.r2.6RG00545360;S.CEREALE.LO7.r2.7RG00681010	0.051718823380492385	FALSE
GO:0033588	1	4	1/57	4/27058	0.008400218781434154	S.CEREALE.LO7.r2.6RG00649230	0.051718823380492385	FALSE
GO:0006812	2	67	2/57	67/27058	0.008830179331557659	S.CEREALE.LO7.r2.5RG00430660;S.CEREALE.LO7.r2.5RG00430670	0.051718823380492385	FALSE
GO:0009360	1	5	1/57	5/27058	0.010489417699503623	S.CEREALE.LO7.r2.4RG00317840	0.051718823380492385	FALSE
GO:0015369	1	5	1/57	5/27058	0.010489417699503623	S.CEREALE.LO7.r2.6RG00545360	0.051718823380492385	FALSE
GO:0016846	1	6	1/57	6/27058	0.012574291953417749	S.CEREALE.LO7.r2.3RG00257080	0.051718823380492385	FALSE
GO:0051260	1	6	1/57	6/27058	0.012574291953417749	S.CEREALE.LO7.r2.4RG00350850	0.051718823380492385	FALSE
GO:0002098	1	6	1/57	6/27058	0.012574291953417749	S.CEREALE.LO7.r2.6RG00649230	0.051718823380492385	FALSE
GO:0006816	1	6	1/57	6/27058	0.012574291953417749	S.CEREALE.LO7.r2.6RG00545360	0.051718823380492385	FALSE
GO:0022857	4	433	4/57	433/27058	0.013111814378152998	S.CEREALE.LO7.r2.1RG00014730;S.CEREALE.LO7.r2.3RG00277160;S.CEREALE.LO7.r2.3RG00277170;S.CEREALE.LO7.r2.5RG00518510	0.051718823380492385	FALSE
GO:1902600	2	88	2/57	88/27058	0.01486341392747312	S.CEREALE.LO7.r2.5RG00430660;S.CEREALE.LO7.r2.5RG00430670	0.0555422309921364	FALSE
GO:0007010	1	10	1/57	10/27058	0.020870717915783432	S.CEREALE.LO7.r2.4RG00311630	0.07056290342955351	FALSE
GO:0008652	1	10	1/57	10/27058	0.020870717915783432	S.CEREALE.LO7.r2.3RG00287780	0.07056290342955351	FALSE
GO:0015297	2	110	2/57	110/27058	0.022602696659602472	S.CEREALE.LO7.r2.5RG00430660;S.CEREALE.LO7.r2.5RG00430670	0.07294506649235342	FALSE
GO:0003887	1	12	1/57	12/27058	0.02499321068667415	S.CEREALE.LO7.r2.4RG00317840	0.0771529547284289	FALSE
GO:0030170	2	124	2/57	124/27058	0.028220198402473626	S.CEREALE.LO7.r2.3RG00274630;S.CEREALE.LO7.r2.6RG00640690	0.08348475360731782	FALSE
GO:0005315	1	16	1/57	16/27058	0.033187103667710605	S.CEREALE.LO7.r2.5RG00518510	0.08717044875269359	FALSE
GO:0006817	1	16	1/57	16/27058	0.033187103667710605	S.CEREALE.LO7.r2.5RG00518510	0.08717044875269359	FALSE
GO:0016157	1	17	1/57	17/27058	0.03522498308088107	S.CEREALE.LO7.r2.2RG00154170	0.08717044875269359	FALSE
GO:0005985	1	18	1/57	18/27058	0.0372586421898039	S.CEREALE.LO7.r2.2RG00154170	0.08717044875269359	FALSE
GO:0000148	1	19	1/57	19/27058	0.0392880895786788	S.CEREALE.LO7.r2.2RG00184390	0.08717044875269359	FALSE
GO:0003843	1	19	1/57	19/27058	0.0392880895786788	S.CEREALE.LO7.r2.2RG00184390	0.08717044875269359	FALSE
GO:0006075	1	19	1/57	19/27058	0.0392880895786788	S.CEREALE.LO7.r2.2RG00184390	0.08717044875269359	FALSE
GO:0016651	1	19	1/57	19/27058	0.0392880895786788	S.CEREALE.LO7.r2.4RG00309780	0.08717044875269359	FALSE
GO:0009725	1	24	1/57	24/27058	0.04937244997111412	S.CEREALE.LO7.r2.3RG00287770	0.10622557418027583	FALSE
GO:0006352	1	29	1/57	29/27058	0.05935279517394587	S.CEREALE.LO7.r2.4RG00349830	0.12394260168676932	FALSE
GO:0003779	1	32	1/57	32/27058	0.06529151386495691	S.CEREALE.LO7.r2.4RG00311630	0.13244849955462687	FALSE
GO:0005525	2	216	2/57	216/27058	0.07608187648080722	S.CEREALE.LO7.r2.4RG00309760;S.CEREALE.LO7.r2.4RG00312390	0.15005036750381426	FALSE
GO:0006260	1	44	1/57	44/27058	0.0886802263287908	S.CEREALE.LO7.r2.4RG00317840	0.1701701640363283	FALSE
GO:0015267	1	47	1/57	47/27058	0.09443697621263347	S.CEREALE.LO7.r2.4RG00350640	0.17401319669372442	FALSE
GO:0016788	2	247	2/57	247/27058	0.09558471367683453	S.CEREALE.LO7.r2.1RG00023850;S.CEREALE.LO7.r2.1RG00023860	0.17401319669372442	FALSE
GO:0005634	2	275	2/57	275/27058	0.11428524180478788	S.CEREALE.LO7.r2.3RG00287770;S.CEREALE.LO7.r2.4RG00349830	0.20112066532013823	FALSE
GO:0016830	1	59	1/57	59/27058	0.11710883755772361	S.CEREALE.LO7.r2.6RG00640690	0.20112066532013823	FALSE
GO:0019752	1	60	1/57	60/27058	0.11897278793585642	S.CEREALE.LO7.r2.6RG00640690	0.20112066532013823	FALSE
GO:0051536	1	68	1/57	68/27058	0.1337458653411706	S.CEREALE.LO7.r2.4RG00309780	0.22083619626100265	FALSE
GO:0016567	1	86	1/57	86/27058	0.16610120635102543	S.CEREALE.LO7.r2.4RG00412140	0.2680269466118819	FALSE
GO:0004842	1	99	1/57	99/27058	0.18872757269046025	S.CEREALE.LO7.r2.4RG00412140	0.2977701702449484	FALSE
GO:0004222	1	102	1/57	102/27058	0.1938627632202521	S.CEREALE.LO7.r2.3RG00220650	0.299222960622563	FALSE
GO:0006355	4	1209	4/57	1209/27058	0.2500683044270562	S.CEREALE.LO7.r2.3RG00287770;S.CEREALE.LO7.r2.4RG00412140;S.CEREALE.LO7.r2.4RG00412760;S.CEREALE.LO7.r2.7RG00732650	0.3777627577515104	FALSE
GO:0000287	1	141	1/57	141/27058	0.25778374388308267	S.CEREALE.LO7.r2.3RG00220640	0.3813051211603931	FALSE
GO:0003924	1	153	1/57	153/27058	0.27643017447615337	S.CEREALE.LO7.r2.4RG00309760	0.4005416813838141	FALSE
