GO	x	K	GeneRatio	BgRatio	p_value	genes_in_target	p_adjust	significant
GO:0005216	1	29	1/7	29/27058	0.007479149313102673	S.CEREALE.LO7.r2.4RG00348400	0.04253491764643458	TRUE
GO:0006811	1	33	1/7	33/27058	0.008506983529286916	S.CEREALE.LO7.r2.4RG00348400	0.04253491764643458	TRUE
GO:0055085	2	865	2/7	865/27058	0.019264386893676398	S.CEREALE.LO7.r2.4RG00348400;S.CEREALE.LO7.r2.5RG00480030	0.06421462297892133	FALSE
GO:0006979	1	331	1/7	331/27058	0.08256041781113599	S.CEREALE.LO7.r2.2RG00148030	0.1487349791273003	FALSE
GO:0004601	1	341	1/7	341/27058	0.08496083401719356	S.CEREALE.LO7.r2.2RG00148030	0.1487349791273003	FALSE
GO:0016020	2	1998	2/7	1998/27058	0.08924098747638018	S.CEREALE.LO7.r2.4RG00348400;S.CEREALE.LO7.r2.5RG00480030	0.1487349791273003	FALSE
GO:0005515	3	5551	3/7	5551/27058	0.15698275122028377	S.CEREALE.LO7.r2.2RG00089440;S.CEREALE.LO7.r2.4RG00348400;S.CEREALE.LO7.r2.6RG00579490	0.22426107317183397	FALSE
GO:0043531	1	932	1/7	932/27058	0.21760046355347706	S.CEREALE.LO7.r2.2RG00089430	0.2720005794418463	FALSE
GO:0020037	1	1108	1/7	1108/27058	0.25376211385892256	S.CEREALE.LO7.r2.2RG00148030	0.28195790428769174	FALSE
GO:0003677	1	1900	1/7	1900/27058	0.3993278693900204	S.CEREALE.LO7.r2.7RG00719250	0.3993278693900204	FALSE
