GO	x	K	GeneRatio	BgRatio	p_value	genes_in_target	p_adjust	significant
GO:0005544	2	14	2/90	14/27058	9.700656852857692e-4	S.CEREALE.LO7.r2.7RG00677840;S.CEREALE.LO7.r2.7RG00677850	0.08633584599043347	FALSE
GO:0008690	1	1	1/90	1/27058	0.0033261881883360767	S.CEREALE.LO7.r2.1RG00074540	0.09851462469270014	FALSE
GO:0005525	4	216	4/90	216/27058	0.0059099168223105784	S.CEREALE.LO7.r2.1RG00062280;S.CEREALE.LO7.r2.1RG00072760;S.CEREALE.LO7.r2.4RG00309760;S.CEREALE.LO7.r2.5RG00508910	0.09851462469270014	FALSE
GO:0005986	1	2	1/90	2/27058	0.006641435372541582	S.CEREALE.LO7.r2.5RG00421530	0.09851462469270014	FALSE
GO:0050307	1	2	1/90	2/27058	0.006641435372541582	S.CEREALE.LO7.r2.5RG00421530	0.09851462469270014	FALSE
GO:0007030	1	2	1/90	2/27058	0.006641435372541582	S.CEREALE.LO7.r2.2RG00168290	0.09851462469270014	FALSE
GO:0003924	3	153	3/90	153/27058	0.014552687924499711	S.CEREALE.LO7.r2.1RG00062280;S.CEREALE.LO7.r2.1RG00072760;S.CEREALE.LO7.r2.4RG00309760	0.18502703218292488	FALSE
GO:0002098	1	6	1/90	6/27058	0.019793724068987606	S.CEREALE.LO7.r2.6RG00617950	0.22020518026748712	FALSE
GO:0003883	1	8	1/90	8/27058	0.026305142203766896	S.CEREALE.LO7.r2.1RG00078420	0.2243743608776651	FALSE
GO:0030151	1	8	1/90	8/27058	0.026305142203766896	S.CEREALE.LO7.r2.5RG00501370	0.2243743608776651	FALSE
GO:0048500	1	9	1/90	9/27058	0.02954479237758023	S.CEREALE.LO7.r2.1RG00062280	0.2243743608776651	FALSE
GO:0006351	2	85	2/90	85/27058	0.03267954504852303	S.CEREALE.LO7.r2.3RG00260210;S.CEREALE.LO7.r2.3RG00264240	0.2243743608776651	FALSE
GO:0008312	1	10	1/90	10/27058	0.03277378304954659	S.CEREALE.LO7.r2.1RG00062280	0.2243743608776651	FALSE
GO:0006221	1	12	1/90	12/27058	0.0391999244980874	S.CEREALE.LO7.r2.1RG00078420	0.23343916311002041	FALSE
GO:0006614	1	15	1/90	15/27058	0.04876005379963455	S.CEREALE.LO7.r2.1RG00062280	0.23343916311002041	FALSE
GO:0009793	1	15	1/90	15/27058	0.04876005379963455	S.CEREALE.LO7.r2.5RG00458610	0.23343916311002041	FALSE
GO:0004197	1	16	1/90	16/27058	0.051925811857469695	S.CEREALE.LO7.r2.4RG00314890	0.23343916311002041	FALSE
GO:0015297	2	110	2/90	110/27058	0.05204650299634941	S.CEREALE.LO7.r2.5RG00431530;S.CEREALE.LO7.r2.7RG00732920	0.23343916311002041	FALSE
GO:0015934	1	17	1/90	17/27058	0.05508115084618459	S.CEREALE.LO7.r2.3RG00260220	0.23343916311002041	FALSE
GO:0000155	1	17	1/90	17/27058	0.05508115084618459	S.CEREALE.LO7.r2.5RG00421540	0.23343916311002041	FALSE
GO:0005516	1	17	1/90	17/27058	0.05508115084618459	S.CEREALE.LO7.r2.6RG00611540	0.23343916311002041	FALSE
GO:0016651	1	19	1/90	19/27058	0.061360707134996084	S.CEREALE.LO7.r2.4RG00309780	0.24789607627545335	FALSE
GO:0005634	3	275	3/90	275/27058	0.06406303094758907	S.CEREALE.LO7.r2.4RG00347160;S.CEREALE.LO7.r2.5RG00529160;S.CEREALE.LO7.r2.7RG00677860	0.24789607627545335	FALSE
GO:0034968	1	24	1/90	24/27058	0.07687962431416051	S.CEREALE.LO7.r2.7RG00677860	0.28509527349834524	FALSE
GO:0042054	1	26	1/90	26/27058	0.08301590244121071	S.CEREALE.LO7.r2.7RG00677860	0.29553661269071013	FALSE
GO:0005515	24	5551	24/90	5551/27058	0.09655189845889846	S.CEREALE.LO7.r2.1RG00009810;S.CEREALE.LO7.r2.1RG00009830;S.CEREALE.LO7.r2.1RG00058160;S.CEREALE.LO7.r2.1RG00072740;S.CEREALE.LO7.r2.1RG00072750;S.CEREALE.LO7.r2.1RG00075350;S.CEREALE.LO7.r2.2RG00088340;S.CEREALE.LO7.r2.2RG00099650;S.CEREALE.LO7.r2.2RG00168280;S.CEREALE.LO7.r2.2RG00168970;S.CEREALE.LO7.r2.3RG00214930;S.CEREALE.LO7.r2.3RG00219950;S.CEREALE.LO7.r2.3RG00261520;S.CEREALE.LO7.r2.4RG00306350;S.CEREALE.LO7.r2.5RG00421540;S.CEREALE.LO7.r2.5RG00502620;S.CEREALE.LO7.r2.5RG00513970;S.CEREALE.LO7.r2.6RG00568370;S.CEREALE.LO7.r2.6RG00596910;S.CEREALE.LO7.r2.6RG00634580;S.CEREALE.LO7.r2.6RG00636410;S.CEREALE.LO7.r2.6RG00637850;S.CEREALE.LO7.r2.7RG00677860;S.CEREALE.LO7.r2.7RG00714340	0.3225041455028511	FALSE
GO:0008237	1	34	1/90	34/27058	0.10716023307880551	S.CEREALE.LO7.r2.2RG00168970	0.3225041455028511	FALSE
GO:0003700	4	547	4/90	547/27058	0.10954945456689201	S.CEREALE.LO7.r2.3RG00271130;S.CEREALE.LO7.r2.3RG00276850;S.CEREALE.LO7.r2.5RG00425360;S.CEREALE.LO7.r2.6RG00541240	0.3225041455028511	FALSE
GO:0004553	3	349	3/90	349/27058	0.11067711390082344	S.CEREALE.LO7.r2.1RG00041690;S.CEREALE.LO7.r2.2RG00092700;S.CEREALE.LO7.r2.2RG00159970	0.3225041455028511	FALSE
GO:0008610	1	37	1/90	37/27058	0.11605135385540122	S.CEREALE.LO7.r2.1RG00033950	0.3225041455028511	FALSE
GO:0008289	1	38	1/90	38/27058	0.11899555940490048	S.CEREALE.LO7.r2.5RG00503870	0.3225041455028511	FALSE
GO:0006364	1	39	1/90	39/27058	0.12193006716409882	S.CEREALE.LO7.r2.1RG00043980	0.3225041455028511	FALSE
GO:0015079	1	40	1/90	40/27058	0.12485490871838445	S.CEREALE.LO7.r2.6RG00608910	0.3225041455028511	FALSE
GO:0071805	1	40	1/90	40/27058	0.12485490871838445	S.CEREALE.LO7.r2.6RG00608910	0.3225041455028511	FALSE
GO:0016020	10	1998	10/90	1998/27058	0.12682747295055943	S.CEREALE.LO7.r2.1RG00016570;S.CEREALE.LO7.r2.1RG00074400;S.CEREALE.LO7.r2.4RG00399280;S.CEREALE.LO7.r2.4RG00417350;S.CEREALE.LO7.r2.5RG00428770;S.CEREALE.LO7.r2.5RG00431530;S.CEREALE.LO7.r2.6RG00584880;S.CEREALE.LO7.r2.6RG00608910;S.CEREALE.LO7.r2.7RG00678350;S.CEREALE.LO7.r2.7RG00732920	0.3225041455028511	FALSE
