GO	x	K	GeneRatio	BgRatio	p_value	genes_in_target	p_adjust	significant
GO:0050790	1	3	1/17	3/27058	0.0018837255901839045	S.CEREALE.LO7.r2.4RG00313160	0.04709313975459761	TRUE
GO:0005741	1	12	1/17	12/27058	0.007514884193977278	S.CEREALE.LO7.r2.1RG00066850	0.056870598417951244	FALSE
GO:0004197	1	16	1/17	16/27058	0.010008011444711973	S.CEREALE.LO7.r2.4RG00313160	0.056870598417951244	FALSE
GO:0043130	1	18	1/17	18/27058	0.011252363544403177	S.CEREALE.LO7.r2.7RG00681320	0.056870598417951244	FALSE
GO:0005509	2	260	2/17	260/27058	0.011374119683590249	S.CEREALE.LO7.r2.3RG00207520;S.CEREALE.LO7.r2.3RG00207540	0.056870598417951244	FALSE
GO:0005618	1	49	1/17	49/27058	0.03035257306135397	S.CEREALE.LO7.r2.7RG00724400	0.09485179081673116	FALSE
GO:0016762	1	49	1/17	49/27058	0.03035257306135397	S.CEREALE.LO7.r2.7RG00724400	0.09485179081673116	FALSE
GO:0044042	1	49	1/17	49/27058	0.03035257306135397	S.CEREALE.LO7.r2.7RG00724400	0.09485179081673116	FALSE
GO:0008233	1	59	1/17	59/27058	0.03643948000174502	S.CEREALE.LO7.r2.7RG00680820	0.10122077778262505	FALSE
GO:0048046	1	84	1/17	84/27058	0.051499788961498094	S.CEREALE.LO7.r2.7RG00724400	0.12874947240374524	FALSE
GO:0004842	1	99	1/17	99/27058	0.06042933828985564	S.CEREALE.LO7.r2.5RG00480760	0.13733940520421736	FALSE
GO:0003924	1	153	1/17	153/27058	0.09192493884674768	S.CEREALE.LO7.r2.6RG00539110	0.1807163607175449	FALSE
GO:0006629	1	169	1/17	169/27058	0.10106441475686068	S.CEREALE.LO7.r2.6RG00585150	0.1807163607175449	FALSE
GO:0055085	2	865	2/17	865/27058	0.10120116200182513	S.CEREALE.LO7.r2.1RG00052490;S.CEREALE.LO7.r2.1RG00066850	0.1807163607175449	FALSE
GO:0005525	1	216	1/17	216/27058	0.1274135193710505	S.CEREALE.LO7.r2.6RG00539110	0.21235586561841752	FALSE
GO:0016788	1	247	1/17	247/27058	0.14439300715489967	S.CEREALE.LO7.r2.3RG00234010	0.22561407367953074	FALSE
GO:0004553	1	349	1/17	349/27058	0.19809232260212306	S.CEREALE.LO7.r2.7RG00724400	0.2913122391207692	FALSE
GO:0022857	1	433	1/17	433/27058	0.23991669463375165	S.CEREALE.LO7.r2.1RG00052490	0.3243438974638716	FALSE
GO:0003824	1	451	1/17	451/27058	0.24860781078671568	S.CEREALE.LO7.r2.1RG00008690	0.3243438974638716	FALSE
GO:0005515	5	5551	5/17	5551/27058	0.2594751179710973	S.CEREALE.LO7.r2.1RG00066840;S.CEREALE.LO7.r2.5RG00480760;S.CEREALE.LO7.r2.5RG00482230;S.CEREALE.LO7.r2.6RG00634580;S.CEREALE.LO7.r2.7RG00681320	0.3243438974638716	FALSE
GO:0005975	1	531	1/17	531/27058	0.28611566715050796	S.CEREALE.LO7.r2.7RG00724400	0.3406138894648904	FALSE
GO:0008234	1	815	1/17	815/27058	0.4055236566787286	S.CEREALE.LO7.r2.4RG00313160	0.4608223371349189	FALSE
GO:0006508	1	1199	1/17	1199/27058	0.5373300234566059	S.CEREALE.LO7.r2.4RG00313160	0.5840543733223976	FALSE
GO:0003677	1	1900	1/17	1900/27058	0.7100639485069625	S.CEREALE.LO7.r2.7RG00680830	0.7286828472276732	FALSE
GO:0016020	1	1998	1/17	1998/27058	0.7286828472276732	S.CEREALE.LO7.r2.1RG00052490	0.7286828472276732	FALSE
