comparison	mean_fst	n_sites
Fst_gen0_vs_gen1_NF	0.00167282807698721	44802
Fst_gen0_vs_gen1_NPK	0.00185096243679058	45000
Fst_gen0_vs_gen2_NF	0.00333578391745495	44847
Fst_gen0_vs_gen2_NPK	0.00465028244472648	45083
Fst_gen0_vs_gen3_NF	0.0042632065038297	44775
Fst_gen0_vs_gen3_NPK	0.00471908670701676	44999
Fst_gen1_NF_vs_gen1_NPK	0.000825380843264525	45145
Fst_gen1_NF_vs_gen2_NF	0.00224713875407956	44903
Fst_gen1_NPK_vs_gen2_NPK	0.00275134529906749	45182
Fst_gen2_NF_vs_gen2_NPK	0.00229133385274614	44730
Fst_gen2_NF_vs_gen3_NF	0.00129876682732312	44107
Fst_gen2_NPK_vs_gen3_NPK	0.00126695504687292	44280
Fst_gen3_NF_vs_gen3_NPK	0.00248067810427687	44574
