multiplier,treatment,Ne,observed_ks,empirical_p,sim_median_ks
1,ND,159,0.0580275883243054,1,0.100111844557995
1,Control,134,0.08153687580868,1,0.110484879054365
1.25,ND,199,0.0580275883243054,1,0.0908791859470603
1.25,Control,168,0.08153687580868,1,0.100199565779951
1.5,ND,238,0.0580275883243054,1,0.0849360731594991
1.5,Control,201,0.08153687580868,1,0.0935985438277155
1.75,ND,278,0.0580275883243054,1,0.0807035242000921
1.75,Control,234,0.08153687580868,1,0.0889054584530363
2,ND,318,0.0580275883243054,1,0.0774359086822079
2,Control,268,0.08153687580868,1,0.0853527489637931
2.25,ND,358,0.0580275883243054,1,0.0749139235509551
2.25,Control,302,0.08153687580868,0.836163836163836,0.082523739555692
2.5,ND,398,0.0580275883243054,1,0.0729073005986974
2.5,Control,335,0.08153687580868,0.116883116883117,0.0804184302287331
2.75,ND,437,0.0580275883243054,1,0.0713502489089673
2.75,Control,368,0.08153687580868,0.003996003996004,0.0785543542621549
3,ND,477,0.0580275883243054,1,0.0699576745104059
3,Control,402,0.08153687580868,0.000999000999000999,0.0770411631834032
3.25,ND,517,0.0580275883243054,1,0.0688172986249699
3.25,Control,436,0.08153687580868,0.000999000999000999,0.0756814842430755
3.5,ND,556,0.0580275883243054,1,0.0678085045724687
3.5,Control,469,0.08153687580868,0.000999000999000999,0.0745849689686177
3.75,ND,596,0.0580275883243054,1,0.0669751529638808
3.75,Control,502,0.08153687580868,0.000999000999000999,0.0736419658325841
4,ND,636,0.0580275883243054,1,0.0662514528827387
4,Control,536,0.08153687580868,0.000999000999000999,0.0727428233075287
