"gen","trt","MAF_bin","n_variants"
"gen1","ND","0.00-0.01",12962
"gen2","ND","0.00-0.01",11162
"gen3","ND","0.00-0.01",10218
"gen1","Control","0.00-0.01",12711
"gen2","Control","0.00-0.01",10423
"gen3","Control","0.00-0.01",10026
"gen1","ND","0.01-0.02",4468
"gen2","ND","0.01-0.02",5069
"gen3","ND","0.01-0.02",5312
"gen1","Control","0.01-0.02",4873
"gen2","Control","0.01-0.02",5171
"gen3","Control","0.01-0.02",5506
"gen1","ND","0.02-0.03",2358
"gen2","ND","0.02-0.03",2504
"gen3","ND","0.02-0.03",2530
"gen1","Control","0.02-0.03",2451
"gen2","Control","0.02-0.03",2746
"gen3","Control","0.02-0.03",2665
