"MAF_bin","comparison_type","group","comparison","difference"
"0.00-0.01","temporal","ND","Gen1_to_Gen2",-1800
"0.00-0.01","temporal","ND","Gen2_to_Gen3",-944
"0.00-0.01","temporal","ND","Gen1_to_Gen3",-2744
"0.00-0.01","temporal","Control","Gen1_to_Gen2",-2288
"0.00-0.01","temporal","Control","Gen2_to_Gen3",-397
"0.00-0.01","temporal","Control","Gen1_to_Gen3",-2685
"0.01-0.02","temporal","ND","Gen1_to_Gen2",601
"0.01-0.02","temporal","ND","Gen2_to_Gen3",243
"0.01-0.02","temporal","ND","Gen1_to_Gen3",844
"0.01-0.02","temporal","Control","Gen1_to_Gen2",298
"0.01-0.02","temporal","Control","Gen2_to_Gen3",335
"0.01-0.02","temporal","Control","Gen1_to_Gen3",633
"0.02-0.03","temporal","ND","Gen1_to_Gen2",146
"0.02-0.03","temporal","ND","Gen2_to_Gen3",26
"0.02-0.03","temporal","ND","Gen1_to_Gen3",172
"0.02-0.03","temporal","Control","Gen1_to_Gen2",295
"0.02-0.03","temporal","Control","Gen2_to_Gen3",-81
"0.02-0.03","temporal","Control","Gen1_to_Gen3",214
"0.00-0.01","treatment","gen1","ND_minus_control",251
"0.00-0.01","treatment","gen2","ND_minus_control",739
"0.00-0.01","treatment","gen3","ND_minus_control",192
"0.01-0.02","treatment","gen1","ND_minus_control",-405
"0.01-0.02","treatment","gen2","ND_minus_control",-102
"0.01-0.02","treatment","gen3","ND_minus_control",-194
"0.02-0.03","treatment","gen1","ND_minus_control",-93
"0.02-0.03","treatment","gen2","ND_minus_control",-242
"0.02-0.03","treatment","gen3","ND_minus_control",-135
