"Sample","chr1R","chr2R","chr3R","chr4R","chr5R","chr6R","chr7R","chrB","mean_A_cov","ratio_B_cov"
"3420780_NPK_EG_25_01_S2_L001_R1_001_trim",0.537671,0.542033,0.517437,0.548983,0.487091,0.589923,0.515137,0.0126271,0.534039285714286,0.0236445151841424
"3420781_NPK_EG_25_02_S3_L001_R1_001_trim",0.47608,0.515524,0.47806,0.549264,0.496746,0.564235,0.52025,0.0117666,0.514308428571429,0.0228784895333789
"3420782_NPK_EG_25_03_S4_L001_R1_001_trim",0.439611,0.453694,0.429118,0.494241,0.433533,0.494551,0.479478,0.012982,0.460603714285714,0.0281847488358446
"3420783_NPK_EG_25_04_S5_L001_R1_001_trim",0.436825,0.442472,0.444878,0.487409,0.42644,0.495045,0.443431,0.0118115,0.453785714285714,0.0260288052888399
"3420785_NPK_EG_25_06_S7_L001_R1_001_trim",0.663506,0.692992,0.650043,0.761712,0.654722,0.769315,0.7196,0.0207245,0.701698571428571,0.0295347615683576
"3420786_NPK_EG_25_07_S8_L001_R1_001_trim",0.409342,0.426735,0.412164,0.454857,0.422011,0.485518,0.426184,0.0098554,0.433830142857143,0.0227171858900669
"3420787_NPK_EG_25_08_S9_L001_R1_001_trim",0.317347,0.327631,0.334331,0.361408,0.330697,0.391455,0.369201,0.00938267,0.347438571428571,0.0270052630064102
"3420788_NPK_EG_25_09_S10_L001_R1_001_trim",0.462514,0.466349,0.476451,0.492154,0.454315,0.524847,0.44088,0.0129785,0.47393,0.0273848458633131
"3420789_NPK_EG_25_10_S11_L001_R1_001_trim",0.617197,0.607381,0.586373,0.691175,0.605548,0.661835,0.602473,0.0152263,0.624568857142857,0.0243788972598698
"3420790_NPK_EG_25_11_S12_L001_R1_001_trim",0.488597,0.491812,0.444716,0.542903,0.476282,0.555052,0.484718,0.0120405,0.497725714285714,0.0241910346490322
"3420791_NPK_EG_25_12_S13_L001_R1_001_trim",0.484502,0.531573,0.524628,0.552293,0.536856,0.591365,0.531747,0.0155002,0.536137714285714,0.0289108555264586
"3420792_NPK_EG_25_13_S14_L001_R1_001_trim",0.473093,0.481807,0.448797,0.53444,0.490748,0.545309,0.467729,0.0119772,0.491703285714286,0.0243585925658418
"3420793_NPK_EG_25_14_S15_L001_R1_001_trim",0.24096,0.238712,0.217737,0.264638,0.240124,0.274583,0.252241,0.00683724,0.246999285714286,0.0276812136530181
"3420794_NPK_EG_25_15_S16_L001_R1_001_trim",0.306873,0.318099,0.303015,0.367175,0.32602,0.358721,0.340276,0.008764,0.331454142857143,0.0264410633834717
"3420795_NPK_EG_25_16_S17_L001_R1_001_trim",0.346748,0.346874,0.328173,0.380094,0.349067,0.392065,0.345642,0.0100863,0.355523285714286,0.0283702936074511
