GO	gene_id
GO:0006508	S.CEREALE.LO7.r2.1RG00000860
GO:0008234	S.CEREALE.LO7.r2.1RG00000860
GO:0016020	S.CEREALE.LO7.r2.1RG00000890
GO:0055085	S.CEREALE.LO7.r2.1RG00000890
GO:0004674	S.CEREALE.LO7.r2.1RG00000910
GO:0005524	S.CEREALE.LO7.r2.1RG00000910
GO:0004672	S.CEREALE.LO7.r2.1RG00000910
GO:0006468	S.CEREALE.LO7.r2.1RG00000910
GO:0006508	S.CEREALE.LO7.r2.1RG00000950
GO:0008234	S.CEREALE.LO7.r2.1RG00000950
GO:0003735	S.CEREALE.LO7.r2.1RG00000970
GO:0005840	S.CEREALE.LO7.r2.1RG00000970
GO:0006412	S.CEREALE.LO7.r2.1RG00000970
GO:0015934	S.CEREALE.LO7.r2.1RG00000970
GO:0016020	S.CEREALE.LO7.r2.1RG00000980
GO:0055085	S.CEREALE.LO7.r2.1RG00000980
GO:0004672	S.CEREALE.LO7.r2.1RG00000990
GO:0006468	S.CEREALE.LO7.r2.1RG00000990
GO:0006396	S.CEREALE.LO7.r2.1RG00001000
GO:0001522	S.CEREALE.LO7.r2.1RG00001000
GO:0003723	S.CEREALE.LO7.r2.1RG00001000
GO:0009451	S.CEREALE.LO7.r2.1RG00001000
GO:0009982	S.CEREALE.LO7.r2.1RG00001000
GO:0005672	S.CEREALE.LO7.r2.1RG00001020
GO:0006367	S.CEREALE.LO7.r2.1RG00001020
GO:0005524	S.CEREALE.LO7.r2.1RG00001030
GO:0016020	S.CEREALE.LO7.r2.1RG00001030
GO:0055085	S.CEREALE.LO7.r2.1RG00001030
GO:0140359	S.CEREALE.LO7.r2.1RG00001030
GO:0030246	S.CEREALE.LO7.r2.1RG00001050
GO:0004497	S.CEREALE.LO7.r2.1RG00001160
GO:0005506	S.CEREALE.LO7.r2.1RG00001160
GO:0016705	S.CEREALE.LO7.r2.1RG00001160
GO:0020037	S.CEREALE.LO7.r2.1RG00001160
GO:0008146	S.CEREALE.LO7.r2.1RG00001220
