"Sample","chr1R","chr2R","chr3R","chr4R","chr5R","chr6R","chr7R","chrB","mean_A_cov","ratio_B_cov"
"3073208_NPK_22_B_1_S277_L002_R1_001",0.34174,0.330805,0.331534,0.384521,0.347509,0.384906,0.359832,0.00849586,0.354406714285714,0.0239720627672726
"3073209_NPK_22_B_13_S289_L002_R1_001",0.307003,0.305565,0.286384,0.360773,0.321285,0.361004,0.32984,0.00828126,0.324550571428571,0.025516085100539
"3073210_NPK_22_B_25_S300_L002_R1_001",0.432513,0.430448,0.430219,0.499415,0.439954,0.512868,0.44871,0.0096927,0.456303857142857,0.0212417665296339
"3073211_NPK_22_B_37_S312_L002_R1_001",0.296764,0.291435,0.293102,0.33511,0.311779,0.345042,0.308186,0.00783623,0.311631142857143,0.0251458500846697
"3073212_NPK_22_B_49_S324_L002_R1_001",0.422312,0.424863,0.418728,0.494288,0.433866,0.505424,0.442782,0.0100574,0.448894714285714,0.0224048082544332
"3073213_NPK_22_B_61_S336_L002_R1_001",0.345618,0.343348,0.364538,0.392486,0.347382,0.401082,0.365929,0.00858641,0.365769,0.0234749527707378
"3073214_NPK_22_B_75_S347_L002_R1_001",0.312849,0.311998,0.307466,0.345428,0.312905,0.355801,0.317101,0.00719079,0.323364,0.0222374475822912
"3073215_NPK_22_B_87_S358_L002_R1_001",0.274013,0.265155,0.252745,0.308526,0.263649,0.316878,0.269269,0.00707861,0.278605,0.0254073329624379
"3073216_NPK_22_B_2_S278_L002_R1_001",0.295294,0.296294,0.289646,0.31954,0.305351,0.360867,0.310399,0.00720988,0.311055857142857,0.0231787308756213
"3073217_NPK_22_A_14_S290_L002_R1_001",0.287021,0.273707,0.260533,0.313635,0.294511,0.318088,0.281253,0.00795191,0.289821142857143,0.0274373012320899
"3073218_NPK_22_B_26_S301_L002_R1_001",0.36714,0.35732,0.369262,0.392835,0.355167,0.410211,0.383193,0.00958936,0.376446857142857,0.0254733432303858
"3073219_NPK_22_B_38_S313_L002_R1_001",0.336239,0.337451,0.329354,0.375867,0.346445,0.381149,0.346877,0.00869766,0.350483142857143,0.0248162006568891
"3073220_NPK_22_B_50_S325_L002_R1_001",0.318079,0.329653,0.332312,0.37569,0.339795,0.386719,0.352752,0.0079142,0.347857142857143,0.0227512936344969
"3073221_NPK_22_B_62_S337_L002_R1_001",0.290656,0.277249,0.265164,0.31975,0.285575,0.328632,0.290806,0.00697061,0.293976,0.023711493455248
"3073222_NPK_22_B_76_S348_L002_R1_001",0.264464,0.250176,0.230625,0.285494,0.265745,0.296912,0.273511,0.00737886,0.266703857142857,0.0276668664602312
"3073223_NPK_22_B_88_S359_L002_R1_001",0.304431,0.304844,0.298966,0.335532,0.310853,0.335229,0.310653,0.00783274,0.314358285714286,0.0249166010757516
"3073224_NPK_22_B_3_S279_L002_R1_001",0.377967,0.386354,0.379984,0.441358,0.394488,0.435525,0.4008,0.0104038,0.402353714285714,0.0258573479766914
"3073225_NPK_22_B_15_S291_L002_R1_001",0.344343,0.335934,0.311453,0.373269,0.338714,0.404679,0.327596,0.00867555,0.347998285714286,0.0249298641865231
"3073226_NPK_22_B_27_S302_L002_R1_001",0.355655,0.340831,0.32624,0.387166,0.339063,0.40705,0.330529,0.00908055,0.355219142857143,0.0255632338025541
"3073227_NPK_22_B_39_S314_L002_R1_001",0.394363,0.371497,0.37803,0.426741,0.378669,0.445429,0.395498,0.00935194,0.398603857142857,0.0234617398512737
"3073228_NPK_22_B_51_S326_L002_R1_001",0.26926,0.271154,0.249976,0.298691,0.266948,0.31322,0.267658,0.00726574,0.276701,0.0262584522643576
"3073229_NPK_22_B_63_S338_L002_R1_001",0.368873,0.346758,0.337362,0.392028,0.353205,0.40841,0.361592,0.00988845,0.366889714285714,0.0269521047196744
"3073230_NPK_22_B_77_S349_L002_R1_001",0.34001,0.339179,0.318379,0.379739,0.334105,0.377056,0.33526,0.00827777,0.346246857142857,0.0239071339688282
"3073231_NPK_22_B_89_S360_L002_R1_001",0.334309,0.346114,0.339519,0.400145,0.360105,0.394096,0.382209,0.00911546,0.365213857142857,0.0249592391463788
"3073232_NPK_22_B_4_S280_L002_R1_001",0.413696,0.423968,0.413318,0.468281,0.416302,0.454437,0.443696,0.00942759,0.433385428571429,0.0217533617387097
"3073233_NPK_22_B_16_S292_L002_R1_001",0.306548,0.302933,0.299033,0.333137,0.306855,0.346787,0.299966,0.00828964,0.313608428571429,0.0264330905829335
"3073234_NPK_22_B_28_S303_L002_R1_001",0.209436,0.204327,0.195175,0.238298,0.217799,0.236661,0.213473,0.0058543,0.216452714285714,0.0270465538827682
"3073235_NPK_22_B_40_S315_L002_R1_001",0.36984,0.378428,0.368394,0.409136,0.360087,0.417713,0.399966,0.00885175,0.386223428571429,0.0229187287595189
"3073236_NPK_22_B_52_S327_L002_R1_001",0.345747,0.331558,0.304415,0.37905,0.334441,0.371531,0.339928,0.00879379,0.34381,0.0255774701143073
"3073237_NPK_22_B_64_S339_L002_R1_001",0.394146,0.382008,0.359348,0.43743,0.404735,0.45827,0.41984,0.010644,0.407968142857143,0.026090272454747
"3073238_NPK_22_B_78_S350_L002_R1_001",0.387876,0.409085,0.355768,0.413877,0.368233,0.408071,0.374484,0.00932099,0.388199142857143,0.0240108464212404
"3073239_NPK_22_B_90_S361_L002_R1_001",0.276876,0.265512,0.243623,0.298506,0.273784,0.311743,0.283816,0.00795028,0.279122857142857,0.028483084765541
"3073240_NPK_22_A_5_S281_L002_R1_001",0.327795,0.319215,0.308004,0.360352,0.328036,0.380097,0.316884,0.00796075,0.334340428571429,0.0238103122437652
"3073241_NPK_22_B_17_S293_L002_R1_001",0.214645,0.204275,0.198205,0.242061,0.218671,0.237373,0.221267,0.00596929,0.219499571428571,0.0271949961503342
"3073242_NPK_22_B_29_S304_L002_R1_001",0.257293,0.247766,0.234596,0.285908,0.259901,0.291978,0.270343,0.00599303,0.263969285714286,0.0227035125839857
"3073243_NPK_22_B_41_S316_L002_R1_001",0.32044,0.312739,0.310251,0.3568,0.314888,0.36056,0.31515,0.00797821,0.327261142857143,0.0243787268184255
"3073244_NPK_22_B_53_S328_L002_R1_001",0.377887,0.378987,0.370171,0.420451,0.378297,0.426531,0.386874,0.00888922,0.391314,0.0227163352192868
"3073245_NPK_22_B_65_S340_L002_R1_001",0.246489,0.234014,0.218331,0.26822,0.241976,0.272317,0.2479,0.00617784,0.247035285714286,0.0250079254149349
"3073246_NPK_22_B_79_S351_L002_R1_001",0.21899,0.214048,0.20812,0.233061,0.222328,0.263166,0.222892,0.00579099,0.226086428571429,0.0256140540438075
"3073247_NPK_22_B_91_S362_L002_R1_001",0.310871,0.295546,0.293666,0.328273,0.309704,0.341669,0.294254,0.00841323,0.310569,0.0270897288525255
"3073248_NPK_22_B_6_S282_L002_R1_001",0.360887,0.346665,0.314396,0.395522,0.360468,0.397415,0.365674,0.00949183,0.363003857142857,0.0261480141690742
"3073249_NPK_22_B_18_S294_L002_R1_001",0.337171,0.332406,0.324366,0.372858,0.33534,0.387161,0.334137,0.00858664,0.346205571428571,0.0248021427401309
"3073250_NPK_22_B_30_S305_L002_R1_001",0.312025,0.318766,0.311507,0.369466,0.319073,0.377231,0.335822,0.00836389,0.334841428571429,0.024978659408078
"3073251_NPK_22_B_42_S317_L002_R1_001",0.342961,0.334745,0.318824,0.385125,0.341753,0.395847,0.343245,0.00870395,0.351785714285714,0.024742192893401
"3073252_NPK_22_B_54_S329_L002_R1_001",0.328897,0.328761,0.323966,0.372983,0.33148,0.368569,0.342311,0.00831943,0.342423857142857,0.0242957078674842
"3073253_NPK_22_B_66_S341_L002_R1_001",0.459106,0.478422,0.469049,0.527999,0.467688,0.531776,0.4818,0.0120563,0.487977142857143,0.0247066900088997
"3073254_NPK_22_B_80_S352_L002_R1_001",0.332279,0.322491,0.311729,0.380943,0.340369,0.363082,0.349536,0.0077792,0.342918428571429,0.0226852783398301
"3073255_NPK_22_B_92_S363_L002_R1_001",0.361054,0.358933,0.324225,0.392035,0.37427,0.412772,0.37749,0.00901491,0.371539857142857,0.024263641778098
"3073256_NPK_22_B_7_S283_L002_R1_001",0.216843,0.214663,0.183946,0.242719,0.221536,0.24663,0.217786,0.00622532,0.220589,0.0282213528326435
"3073257_NPK_22_B_19_S295_L002_R1_001",0.379166,0.39434,0.409703,0.431149,0.385951,0.452741,0.413894,0.00917132,0.409563428571429,0.0223929173363693
"3073258_NPK_22_B_31_S306_L002_R1_001",0.343264,0.346848,0.340204,0.409254,0.349733,0.40239,0.353858,0.00952255,0.363650142857143,0.026186020236876
"3073259_NPK_22_B_43_S318_L002_R1_001",0.339975,0.349188,0.35339,0.381541,0.351497,0.390079,0.355486,0.00889039,0.360165142857143,0.0246842043887804
"3073260_NPK_22_B_55_S330_L002_R1_001",0.249012,0.239559,0.228859,0.263511,0.237958,0.276449,0.247734,0.00624999,0.249011714285714,0.0250991806466936
"3073261_NPK_22_B_67_S342_L002_R1_001",0.334421,0.335694,0.329003,0.369075,0.338172,0.399019,0.344713,0.00925861,0.350013857142857,0.0264521241403912
"3073262_NPK_22_B_81_S353_L002_R1_001",0.350866,0.33319,0.346278,0.370566,0.342302,0.370184,0.337915,0.00918971,0.350185857142857,0.0262423790468816
"3073263_NPK_22_B_93_S364_L002_R1_001",0.234231,0.22603,0.210646,0.245846,0.228794,0.262381,0.235035,0.0056283,0.234709,0.0239799070338163
"3073264_NPK_22_B_8_S284_L002_R1_001",0.20891,0.206997,0.197039,0.23691,0.214763,0.242813,0.215877,0.00556289,0.217615571428571,0.0255629225587192
"3073265_NPK_22_B_20_S296_L002_R1_001",0.217831,0.208212,0.187763,0.230344,0.219874,0.24568,0.229651,0.00610661,0.219907857142857,0.0277689486830523
"3073266_NPK_22_B_32_S307_L002_R1_001",0.37384,0.385695,0.377825,0.427498,0.383721,0.453146,0.409899,0.00924162,0.401660571428571,0.0230085317240143
"3073267_NPK_22_B_44_S319_L002_R1_001",0.184892,0.173419,0.16617,0.204126,0.183476,0.208257,0.179181,0.00474079,0.185645857142857,0.0255367400757664
"3073268_NPK_22_B_56_S331_L002_R1_001",0.374426,0.377626,0.392286,0.428734,0.375446,0.443797,0.404794,0.0100479,0.399587,0.0251457129486194
"3073269_NPK_22_B_70_S343_L002_R1_001",0.349893,0.354444,0.350472,0.397189,0.357537,0.431575,0.376915,0.00812043,0.374003571428571,0.021712172343656
"3073270_NPK_22_B_82_S354_L002_R1_001",0.227408,0.209234,0.197803,0.247564,0.226114,0.255164,0.230333,0.00582847,0.22766,0.0256016428006677
"3073271_NPK_22_B_94_S365_L002_R1_001",0.270499,0.252976,0.244582,0.291494,0.268587,0.292298,0.262022,0.0065151,0.268922571428571,0.0242266759736472
"3073272_NPK_22_B_9_S285_L002_R1_001",0.302727,0.290864,0.270416,0.334243,0.307985,0.337816,0.292152,0.00828871,0.305171857142857,0.0271607941754599
"3073273_NPK_22_B_21_S297_L002_R1_001",0.337568,0.324985,0.324204,0.367874,0.32261,0.386236,0.347528,0.00784391,0.344429285714286,0.0227736441857234
"3073274_NPK_22_B_33_S308_L002_R1_001",0.223783,0.224404,0.202402,0.249955,0.231767,0.25767,0.221944,0.00692778,0.230275,0.0300848116382586
"3073275_NPK_22_B_45_S320_L002_R1_001",0.374774,0.357937,0.364372,0.419495,0.363502,0.429516,0.38655,0.00846421,0.385163714285714,0.0219756163056452
"3073276_NPK_22_B_57_S332_L002_R1_001",0.314091,0.298588,0.282394,0.350294,0.299985,0.362485,0.317949,0.00865041,0.317969428571429,0.0272051625807692
"3073277_NPK_22_B_71_S344_L002_R1_001",0.313074,0.309201,0.295956,0.360323,0.31078,0.368138,0.324198,0.00859362,0.325952857142857,0.0263646101320524
"3073278_NPK_22_B_83_S355_L002_R1_001",0.386316,0.39358,0.40225,0.427875,0.411563,0.442105,0.400024,0.00951022,0.409101857142857,0.0232465823216223
"3073279_NPK_22_B_95_S366_L002_R1_001",0.369158,0.381687,0.367614,0.425275,0.356675,0.42202,0.385939,0.00886385,0.386909714285714,0.0229093498372452
"3073280_NPK_22_B_10_S286_L002_R1_001",0.282777,0.284652,0.283848,0.328131,0.29153,0.34317,0.291524,0.00733883,0.300804571428571,0.024397335336849
"3073281_NPK_22_B_22_S298_L002_R1_001",0.241252,0.228459,0.222622,0.259977,0.238264,0.272436,0.230538,0.00676159,0.241935428571429,0.0279479117214274
"3073282_NPK_22_B_34_S309_L002_R1_001",0.323085,0.339555,0.320365,0.370091,0.342407,0.384185,0.343246,0.00813998,0.346133428571429,0.023516884900703
"3073283_NPK_22_B_46_S321_L002_R1_001",0.314705,0.312323,0.311062,0.354987,0.329308,0.384402,0.324765,0.00880101,0.333078857142857,0.0264232022275291
"3073284_NPK_22_B_58_S333_L002_R1_001",0.38032,0.380909,0.355141,0.414703,0.380796,0.43909,0.383942,0.00910033,0.390700142857143,0.0232923641477333
"3073285_NPK_22_B_72_S345_L002_R1_001",0.351494,0.320754,0.314634,0.371614,0.333294,0.383113,0.343422,0.00884756,0.345475,0.0256098415225414
"3073286_NPK_22_B_84_S356_L002_R1_001",0.382536,0.363232,0.376973,0.416205,0.393154,0.458092,0.387666,0.00830128,0.396836857142857,0.0209186214702119
"3073287_NPK_22_B_96_S367_L002_R1_001",0.313219,0.31386,0.296554,0.348187,0.327979,0.353708,0.339795,0.0078609,0.327614571428571,0.0239943539926272
"3073288_NPK_22_A_11_S287_L002_R1_001",0.320564,0.307382,0.303239,0.354849,0.314787,0.360618,0.306236,0.00732952,0.323953571428571,0.02262521745841
"3073290_NPK_22_B_35_S310_L002_R1_001",0.379735,0.381147,0.378945,0.426389,0.402889,0.447481,0.381364,0.00938127,0.399707142857143,0.0234703586554442
"3073291_NPK_22_B_47_S322_L002_R1_001",0.342126,0.338845,0.3372,0.378004,0.343826,0.400668,0.348235,0.0091797,0.355557714285714,0.025817749499378
"3073292_NPK_22_B_59_S334_L002_R1_001",0.371651,0.3986,0.388569,0.449302,0.380184,0.457083,0.39999,0.0104906,0.406482714285714,0.0258082315220573
"3073293_NPK_22_B_73_S346_L002_R1_001",0.318138,0.323356,0.32249,0.355758,0.318756,0.362891,0.323485,0.00889621,0.332124857142857,0.0267857397863282
"3073294_NPK_22_B_85_S357_L002_R1_001",0.399236,0.398345,0.404307,0.456098,0.408324,0.471579,0.412915,0.00881241,0.421543428571429,0.0209051058626734
"3073295_NPK_22_B_86_S368_L002_R1_001",0.300506,0.292615,0.291611,0.352267,0.310499,0.340106,0.317343,0.00750967,0.314992428571429,0.0238407952662808
"3073296_NPK_22_B_12_S288_L002_R1_001",0.201674,0.188978,0.170574,0.218374,0.202829,0.223903,0.192744,0.0048986,0.199868,0.0245091760561971
"3073297_NPK_22_B_24_S299_L002_R1_001",0.334511,0.318898,0.326325,0.369217,0.32973,0.390645,0.337401,0.00821655,0.343818142857143,0.0238979535277578
"3073298_NPK_22_B_36_S311_L002_R1_001",0.353501,0.355082,0.36161,0.418567,0.354296,0.4184,0.376999,0.00895207,0.376922142857143,0.0237504486527153
"3073299_NPK_22_B_48_S323_L002_R1_001",0.22211,0.210318,0.199128,0.234492,0.217033,0.238224,0.216824,0.00553845,0.219732714285714,0.0252053956462689
"3073300_NPK_22_B_60_S335_L002_R1_001",0.233435,0.243901,0.222801,0.260771,0.247162,0.270496,0.249855,0.0064625,0.246917285714286,0.0261727322220686
"3073304_NPK_22_B_97_S369_L002_R1_001",0.328117,0.323318,0.325474,0.383263,0.336558,0.392948,0.329649,0.00919111,0.345618142857143,0.0265932509330074
"3073305_NPK_22_B_112_S381_L002_R1_001",0.328493,0.333617,0.326293,0.377091,0.33064,0.386181,0.342904,0.00840369,0.346459857142857,0.0242558836954518
"3073306_NPK_22_B_125_S393_L002_R1_001",0.302095,0.30118,0.285378,0.333904,0.304864,0.358545,0.305073,0.00898535,0.313005571428571,0.0287066775169223
"3073307_NPK_22_B_137_S405_L002_R1_001",0.378297,0.367095,0.386861,0.424989,0.383841,0.422809,0.396832,0.00863482,0.394389142857143,0.021894162545767
"3073308_NPK_22_A_150_S417_L002_R1_001",0.370763,0.357334,0.337507,0.394171,0.359215,0.417936,0.383147,0.00941828,0.374296142857143,0.0251626424149251
"3073309_NPK_22_A_162_S428_L002_R1_001",0.186987,0.176617,0.176076,0.209032,0.198447,0.21697,0.181446,0.00473311,0.192225,0.0246227597867083
"3073310_NPK_22_B_174_S439_L002_R1_001",0.389698,0.391862,0.40354,0.434946,0.394262,0.456204,0.403225,0.00963381,0.410533857142857,0.0234665419974062
"3073311_NPK_22_B_186_S450_L002_R1_001",0.302353,0.30381,0.303123,0.355556,0.306644,0.34603,0.295803,0.00808132,0.316188428571429,0.0255585570810172
"3073312_NPK_22_A_98_S370_L002_R1_001",0.301835,0.312325,0.30087,0.345733,0.318386,0.341767,0.331205,0.00819537,0.321731571428571,0.0254726944067392
"3073313_NPK_22_B_113_S382_L002_R1_001",0.21526,0.216495,0.199861,0.252897,0.224957,0.267617,0.224981,0.00615805,0.228866857142857,0.0269066918507829
"3073314_NPK_22_B_126_S394_L002_R1_001",0.294503,0.287999,0.28901,0.326222,0.290981,0.33362,0.302204,0.00740726,0.303505571428571,0.0244056804793887
"3073315_NPK_22_A_138_S406_L002_R1_001",0.256795,0.254241,0.238124,0.28573,0.261843,0.30457,0.259748,0.00659517,0.265864428571429,0.0248065152432685
"3073317_NPK_22_A_163_S429_L002_R1_001",0.37995,0.388874,0.382023,0.414517,0.386248,0.439089,0.413176,0.00987285,0.400553857142857,0.0246479963279416
"3073318_NPK_22_B_175_S440_L002_R1_001",0.294499,0.303704,0.280668,0.338629,0.297272,0.330208,0.298129,0.00721198,0.306158428571429,0.0235563660084485
"3073319_NPK_22_A_187_S451_L002_R1_001",0.344953,0.352751,0.348473,0.388809,0.350051,0.392387,0.358947,0.00945133,0.362338714285714,0.0260842400421705
"3073320_NPK_22_B_99_S371_L002_R1_001",0.306125,0.286921,0.287849,0.335911,0.302309,0.351385,0.307619,0.0090852,0.311159857142857,0.0291978537444465
"3073321_NPK_22_B_114_S383_L002_R1_001",0.295427,0.287298,0.293428,0.333909,0.287374,0.327944,0.317076,0.00756297,0.306065142857143,0.0247103277733592
"3073322_NPK_22_B_127_S395_L002_R1_001",0.260471,0.26133,0.260095,0.295801,0.265509,0.302738,0.264638,0.0065435,0.272940285714286,0.0239741084130385
"3073323_NPK_22_B_139_S407_L002_R1_001",0.310993,0.324586,0.315453,0.352968,0.326377,0.356889,0.32016,0.00772381,0.329632285714286,0.0234315943393201
"3073324_NPK_22_B_152_S418_L002_R1_001",0.325011,0.323723,0.335069,0.35396,0.318535,0.371911,0.346626,0.0076079,0.339262142857143,0.0224248421469281
