# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
S.CEREALE.LO7.r2.1RG00000910	S.CEREALE.LO7.r2.1RG00000910	S.CEREALE.LO7.r2.1RG00000910.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00000910	S.CEREALE.LO7.r2.1RG00000910	S.CEREALE.LO7.r2.1RG00000910.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00000920	S.CEREALE.LO7.r2.1RG00000920	S.CEREALE.LO7.r2.1RG00000920.1	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00000970	S.CEREALE.LO7.r2.1RG00000970	S.CEREALE.LO7.r2.1RG00000970.1	protein_coding	0	6	0	4	0	0	0	0	0	5	0	0	0	1	0	0	0	0	5	0
S.CEREALE.LO7.r2.1RG00001030	S.CEREALE.LO7.r2.1RG00001030	S.CEREALE.LO7.r2.1RG00001030.1	protein_coding	0	7	4	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	7	0
S.CEREALE.LO7.r2.1RG00001230	S.CEREALE.LO7.r2.1RG00001230	S.CEREALE.LO7.r2.1RG00001230.1	protein_coding	0	0	1	6	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00001430	S.CEREALE.LO7.r2.1RG00001430	S.CEREALE.LO7.r2.1RG00001430.1	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00001440	S.CEREALE.LO7.r2.1RG00001440	S.CEREALE.LO7.r2.1RG00001440.1	protein_coding	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0
S.CEREALE.LO7.r2.1RG00001480	S.CEREALE.LO7.r2.1RG00001480	S.CEREALE.LO7.r2.1RG00001480.1	protein_coding	0	3	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0
S.CEREALE.LO7.r2.1RG00002030	S.CEREALE.LO7.r2.1RG00002030	S.CEREALE.LO7.r2.1RG00002030.1	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00002040	S.CEREALE.LO7.r2.1RG00002040	S.CEREALE.LO7.r2.1RG00002040.1	protein_coding	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
S.CEREALE.LO7.r2.1RG00002050	S.CEREALE.LO7.r2.1RG00002050	S.CEREALE.LO7.r2.1RG00002050.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
S.CEREALE.LO7.r2.1RG00002710	S.CEREALE.LO7.r2.1RG00002710	S.CEREALE.LO7.r2.1RG00002710.1	protein_coding	0	0	0	8	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00002920	S.CEREALE.LO7.r2.1RG00002920	S.CEREALE.LO7.r2.1RG00002920.1	protein_coding	0	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0
S.CEREALE.LO7.r2.1RG00002930	S.CEREALE.LO7.r2.1RG00002930	S.CEREALE.LO7.r2.1RG00002930.1	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
S.CEREALE.LO7.r2.1RG00003040	S.CEREALE.LO7.r2.1RG00003040	S.CEREALE.LO7.r2.1RG00003040.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
S.CEREALE.LO7.r2.1RG00003240	S.CEREALE.LO7.r2.1RG00003240	S.CEREALE.LO7.r2.1RG00003240.1	protein_coding	0	6	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0
S.CEREALE.LO7.r2.1RG00003440	S.CEREALE.LO7.r2.1RG00003440	S.CEREALE.LO7.r2.1RG00003440.1	protein_coding	0	3	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0
S.CEREALE.LO7.r2.1RG00003440	S.CEREALE.LO7.r2.1RG00003440	S.CEREALE.LO7.r2.1RG00003440.2	protein_coding	0	3	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0
S.CEREALE.LO7.r2.1RG00003450	S.CEREALE.LO7.r2.1RG00003450	S.CEREALE.LO7.r2.1RG00003450.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
S.CEREALE.LO7.r2.1RG00003640	S.CEREALE.LO7.r2.1RG00003640	S.CEREALE.LO7.r2.1RG00003640.1	protein_coding	0	4	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0
S.CEREALE.LO7.r2.1RG00003660	S.CEREALE.LO7.r2.1RG00003660	S.CEREALE.LO7.r2.1RG00003660.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
S.CEREALE.LO7.r2.1RG00003670	S.CEREALE.LO7.r2.1RG00003670	S.CEREALE.LO7.r2.1RG00003670.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
S.CEREALE.LO7.r2.1RG00003770	S.CEREALE.LO7.r2.1RG00003770	S.CEREALE.LO7.r2.1RG00003770.1	protein_coding	0	6	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0
